id,filtered_words,features,label_index
R129,"[finish, item, front., fine, compare, family, quite, house, floor., experts, discuss, ongoing, developments, election.]","(10000,[1916,2920,3556,3614,4253,4506,4687,5836,6056,6431,6578,8297,9246,9462],[4.019381523748645,5.117993812416755,2.849310271098391,0.6792718340663283,5.117993812416755,0.691153161953081,0.6792718340663283,4.42484663185681,5.117993812416755,3.914021008090819,3.914021008090819,3.914021008090819,4.019381523748645,0.691153161953081])",1.0
R227,"[run, along, energy, congress, too., ask, throw, chair, cell, baby, follow, bring, she., experts, discuss, ongoing, developments, climate, change.]","(10000,[266,681,821,1348,1733,2059,2840,3057,3210,3507,3614,4506,4687,8307,8325,8728,9367,9462,9873],[4.137164559405029,4.830311739964974,2.849310271098391,4.270695952029551,5.117993812416755,2.60568818844064,4.42484663185681,3.7316994512968646,4.607168188650764,3.6516567436233283,0.6792718340663283,0.691153161953081,0.6792718340663283,4.019381523748645,4.019381523748645,4.019381523748645,3.7316994512968646,0.691153161953081,4.607168188650764])",1.0
F231,"[represent, everybody, writer., become, writer., —, shocking, claims, aliens, surface, internet.]","(10000,[503,650,2561,5850,7090,7281,7857,7936,8338,8717],[0.691153161953081,2.958509563063383,4.830311739964974,0.691153161953081,4.830311739964974,0.667530016189645,11.046917841049838,0.691153161953081,0.691153161953081,3.914021008090819])",0.0
R066,"[matter, apply, past, rest, situation., road, expect, audience, decide, how., experts, discuss, ongoing, developments, policy.]","(10000,[477,1312,2402,2708,3614,3691,4506,4687,5725,6021,6944,7312,8293,9275,9462],[5.523458920524919,3.8187108282864943,4.270695952029551,3.6516567436233283,0.6792718340663283,4.019381523748645,0.691153161953081,0.6792718340663283,3.6516567436233283,4.607168188650764,2.849310271098391,3.8187108282864943,4.137164559405029,3.8187108282864943,0.691153161953081])",1.0
F095,"[white, table, hand, even, read, act., expect, picture, option, development., —, shocking, claims, mind, control, surface, internet.]","(10000,[503,913,1208,2141,2481,3184,3423,3691,3931,5843,5850,6406,7281,7650,7936,8338,9613],[0.691153161953081,4.270695952029551,2.6902455764687034,5.523458920524919,3.6516567436233283,2.7508701982851385,3.914021008090819,4.019381523748645,3.383392757028649,4.42484663185681,0.691153161953081,4.607168188650764,0.667530016189645,4.607168188650764,0.691153161953081,0.691153161953081,3.7316994512968646])",0.0
R174,"[court, positive, thank, land, western, personal, always., draw, cost, lot, man, finally., experts, discuss, ongoing, developments, policy.]","(10000,[1,524,1619,1687,2569,3614,4490,4506,4568,4687,4943,6816,6944,7148,7939,8167,9462],[3.6516567436233283,3.6516567436233283,4.607168188650764,4.270695952029551,3.7316994512968646,0.6792718340663283,4.42484663185681,0.691153161953081,4.42484663185681,0.6792718340663283,3.914021008090819,5.523458920524919,2.849310271098391,4.270695952029551,3.577548771469606,4.019381523748645,0.691153161953081])",1.0
R201,"[television, run, wish, media, year, republican, spend, pay., long, president, recent, environment, cold, daughter., experts, discuss, ongoing, developments, public, health.]","(10000,[266,353,495,1209,1306,1676,1770,2407,3614,3920,4506,4616,4687,5591,6219,6836,8713,8899,8904,9462],[4.137164559405029,3.6516567436233283,4.42484663185681,4.607168188650764,4.270695952029551,5.523458920524919,2.849310271098391,4.137164559405029,0.6792718340663283,4.019381523748645,0.691153161953081,4.270695952029551,0.6792718340663283,4.019381523748645,2.958509563063383,5.117993812416755,4.137164559405029,3.914021008090819,3.7316994512968646,0.691153161953081])",1.0
R072,"[wish, happen, former, degree, painting., process, artist, born, year, you., experts, discuss, ongoing, developments, education.]","(10000,[4,495,3614,4160,4506,4687,4704,5047,7138,8040,8899,8931,9462,9545,9943],[5.117993812416755,4.42484663185681,0.6792718340663283,4.270695952029551,0.691153161953081,0.6792718340663283,3.7316994512968646,2.579019941358479,5.117993812416755,3.2208738275308737,3.914021008090819,4.270695952029551,0.691153161953081,3.577548771469606,4.607168188650764])",1.0
R064,"[subject, majority, mention, kitchen, eat., clearly, national, development, left., bill, country, who., experts, discuss, ongoing, developments, research.]","(10000,[756,2406,2871,2907,3614,4506,4687,5134,7066,7870,7910,8135,8238,8655,9244,9462,9808],[3.7316994512968646,4.830311739964974,4.270695952029551,4.019381523748645,0.6792718340663283,0.691153161953081,0.6792718340663283,5.523458920524919,2.8844015909096608,4.137164559405029,4.42484663185681,3.8187108282864943,4.270695952029551,4.607168188650764,4.019381523748645,0.691153161953081,3.4440173788450834])",1.0
F037,"[student, note, sound, answer., road, build, black, science., important, strong, unit, suddenly., —, shocking, claims, miracle, drug, surface, internet.]","(10000,[503,1256,1948,1967,2041,2086,3014,3334,3536,5725,5850,6166,6335,6355,7281,7860,7936,8338,9909],[0.691153161953081,3.125563647726549,4.42484663185681,4.137164559405029,4.42484663185681,5.117993812416755,4.830311739964974,4.137164559405029,4.42484663185681,3.6516567436233283,0.691153161953081,4.607168188650764,4.607168188650764,3.914021008090819,0.667530016189645,2.920769235080536,0.691153161953081,0.691153161953081,4.270695952029551])",0.0
